PLAN_REVENUE_AMT,DISCONNECT_REASON_NAME,Disconnect Reason,GROSS_ADDS_COUNT,CPE_COUNT,WINBACK_ADD_COUNT,SERVICE_TYPE,TTL_FEAT_COUNT,FBNP_FLAG,ACTIVE_PHONE_FLAG,RETURNS_COUNT,TRANSFER_COUNT,DATA_USED_1MONTH,DATA_USED_2MONTH,DATA_USED_3MONTH,DATA_USED_4MONTH,DATA_USED_5MONTH,DATA_USED_6MONTH,DATA_USED_7MONTH,DATA_USED_8MONTH,DATA_USED_9MONTH,DATA_USED_10MONTH,DATA_USED_11MONTH,DATA_USED_12MONTH,DATA_1MONTH_TO_DEACT,DATA_2MONTH_TO_DEACT,DATA_3MONTH_TO_DEACT,NUM_IVR_CALLS,AVG_IVR_DURATION,CALL_1MONTH_TO_DEACT,CALL_2MONTHS_TO_DEACT,CALL_3MONTHS_TO_DEACT,CALLS_1MONTH,CALLS_2MONTH,CALLS_3MONTH,CALLS_4MONTH,CALLS_5MONTH,CALLS_6MONTH,CALLS_7MONTH,CALLS_8MONTH,CALLS_9MONTH,CALLS_10MONTH,CALLS_11MONTH,CALLS_12MONTH,NUM_DROPPED_CALLS,AVG_CALL_DURATION,DROP_CALLS_1MONTH_TO_DEACT,DROP_CALLS_2MONTHS_TO_DEACT,DROP_CALLS_3MONTHS_TO_DEACT,DROP_CALLS_1MONTH,DROP_CALLS_2MONTH,DROP_CALLS_3MONTH,DROP_CALLS_4MONTH,DROP_CALLS_5MONTH,DROP_CALLS_6MONTH,DROP_CALLS_7MONTH,DROP_CALLS_8MONTH,DROP_CALLS_9MONTH,DROP_CALLS_10MONTH,DROP_CALLS_11MONTH,DROP_CALLS_12MONTH,MESSAGES_SENT_1MONTH,MESSAGES_SENT_2MONTH,MESSAGES_SENT_3MONTH,MESSAGES_SENT_4MONTH,MESSAGES_SENT_5MONTH,MESSAGES_SENT_6MONTH,MESSAGES_SENT_7MONTH,MESSAGES_SENT_8MONTH,MESSAGES_SENT_9MONTH,MESSAGES_SENT_10MONTH,MESSAGES_SENT_11MONTH,MESSAGES_SENT_12MONTH,SMS_1MONTH_TO_DEACT,SMS_2MONTH_TO_DEACT,SMS_3MONTH_TO_DEACT,TOTAL_CALLS_MADE_1MONTH,TOTAL_CALLS_MADE_2MONTH,TOTAL_CALLS_MADE_3MONTH,TOTAL_CALLS_MADE_4MONTH,TOTAL_CALLS_MADE_5MONTH,TOTAL_CALLS_MADE_6MONTH,TOTAL_CALLS_MADE_7MONTH,TOTAL_CALLS_MADE_8MONTH,TOTAL_CALLS_MADE_9MONTH,TOTAL_CALLS_MADE_10MONTH,TOTAL_CALLS_MADE_11MONTH,TOTAL_CALLS_MADE_12MONTH,TOTAL_MINUTES_1MONTH,TOTAL_MINUTES_2MONTH,TOTAL_MINUTES_3MONTH,TOTAL_MINUTES_4MONTH,TOTAL_MINUTES_5MONTH,TOTAL_MINUTES_6MONTH,TOTAL_MINUTES_7MONTH,TOTAL_MINUTES_8MONTH,TOTAL_MINUTES_9MONTH,TOTAL_MINUTES_10MONTH,TOTAL_MINUTES_11MONTH,TOTAL_MINUTES_12MONTH,CALLS_1MONTH_TO_DEACT,CALLS_2MONTH_TO_DEACT,CALLS_3MONTH_TO_DEACT,SUB_DISC_REASON,SUB_ACTIVE_PHONE_COUNT,q,ETHNICITY,ABP,EBILL,SUB_LPAY_AMT,SUB_COMP_NAME,BUNDLE_STATUS,DISTINCT_FEATURE_COUNT,HOTLINE_FLAG,NUM_PAYMENTS,CHECK_PAYMENTS,CASH_PAYMENTS,CC_PAYMENTS,COUPON_ADJUSTMENTS,churned,tenure,RATE_PLAN_NAME,prev_rate_plan,prev_rev_amt,hh_income,bundle,never_before_cricket,fbnp,autobillpay,ebilling,hotline,total_data,total_messages,total_minutes,total_drop_calls,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,Num_Adults_in_LU,Religious_Magazine,Occupation
55,0,1,1,0,0,Unknown,11,N,A,0,0,1720088350,1122308607,1101277510,2813184264,946088714,1548550806,783311157,683777315,741317228,672967402,537556311,4189517772,0,0,0,30,35.76666667,0,0,0,0,2,0,5,4,0,9,5,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,1,1,1,4,12,6,0,0,0,254,187,0,0,0,0,0,0,0,0,0,0,737.935,441.736,0,0,0,0,0,0,0,0,0,0,0,0,0,BC,1,DISC,White,N,N,38,0,N,11,N,8,0,30,0,0,0,425,ADRSmartphone All_In (ADR1),Android,55,35000,0,0,0,0,0,0,16859945436,39,1179.671,0,1,0,0,0,0,0,0,0,0,4,0,1
50,0,1,1,0,0,Voice Service,12,N,A,0,0,606787827,881938811,551921545,0,0,0,0,0,0,0,0,0,0,0,0,7,82.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,54,32,0,0,0,0,0,0,0,0,0,0,0,0,76,119,86,0,0,0,0,0,0,0,0,0,92.232,223.767,107.733,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ACTIVE,White,N,N,148.56,0,N,12,N,45,0,96,3,0,0,79,$50 Dbl Data Muve Smart (LTEMVA6),True Rate $45,45,25000,0,0,0,0,0,0,2040648183,220,423.732,0,0,1,0,0,0,0,0,0,0,3,0,2
30,0,1,0,1,0,Voice Service,10,N,A,0,0,518200000,122870000,15308661,201962,0,0,0,0,0,0,0,0,0,39919,0,6,28.66666667,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,182,52,1,0,0,0,0,0,0,0,0,0,0,0,174,270,256,221,236,178,180,180,109,0,0,0,237.886,358.569,387.418,344.984,387.481,264.232,281.685,281.685,240.652,0,0,0,0,0,0,0,2,ACTIVE,Hispanic,N,N,34,0,N,7,N,40,0,32,58,0,0,253,Feature (ST30A),Android,55,45000,0,1,0,0,0,0,656580623,506,2784.592,0,1,0,0,0,0,0,0,0,0,5,0,1
55,TRANSFER,28,1,1,1,Voice Service,10,N,I,1,1,166593701,0,0,0,0,0,0,0,0,0,0,0,34093884,0,0,11,86.18181818,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,281,171,81,3,0,0,0,0,0,0,0,0,561.034,327.916,132.766,2.217,0,0,0,0,0,0,0,0,0,0,0,PO,1,DISC,Unknown,N,N,63.03,0,N,7,N,53,70,2,42,0,1,0,ADRSmartphone All_In (ADR1),Android,55,25000,0,0,0,0,0,0,166593701,35,1023.933,0,0,0,0,0,1,0,0,0,0,5,0,5
45,0,1,1,1,1,Unknown,10,N,A,1,1,15187607,12181069,8645389,12298289,12782453,17474335,40281350,51057406,49728926,17377625,0,0,0,0,0,7,150.8571429,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,173,27,122,31,945,3176,3176,3970,5388,0,0,0,0,0,168,111,110,126,121,227,258,258,324,115,0,0,155.533,132.715,88.382,111.585,91.485,146.317,181.664,181.664,346.18,127.351,0,0,0,0,0,NP,2,DISC,Hispanic,N,N,87,0,N,11,N,22,0,92,0,0,0,364,True Rate $45,Android,55,45000,0,0,0,0,0,0,237014449,17158,1562.876,0,0,1,0,0,0,0,0,0,0,2,0,2
45,0,1,1,1,1,Unknown,10,N,A,1,1,40063123,33979187,24899720,17387807,19708591,483937,0,0,2522503355,1211468745,1570908972,4188178612,0,0,0,37,39.08108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,1293,3252,3709,4716,0,0,0,0,277,157,263,0,0,0,185,303,297,257,480,0,0,0,0,0,0,0,1082.467,603.117,756.551,1019.6,1584.7,0,0,0,0,0,0,0,0,0,0,0,2,ACTIVE,Unknown,N,N,16,0,N,11,N,20,0,76,16,0,0,399,True Rate $45,Smart (ADR5),50,87000,0,0,0,0,0,0,9629582049,16300,5046.435,0,0,0,1,0,0,0,0,0,0,3,0,3
60,0,1,1,1,1,Voice Service,10,N,A,1,1,2056769461,2395077200,9014227,0,0,10462193,0,0,0,0,0,0,0,0,0,110,41.52727273,0,0,0,9,0,0,4,5,5,18,10,12,5,1,0,165,144.8787879,0,0,0,0,0,6,0,0,1,6,3,0,0,0,0,1476,2430,24,0,0,0,0,0,0,0,0,0,0,0,0,1338,864,36,0,0,0,0,0,0,0,0,0,2195.149,1363.734,5.933,0,0,0,0,0,0,0,0,0,0,0,0,NP,2,DISC,White,N,N,111.78,0,N,8,N,28,0,62,0,0,0,164,Muve Smart (MVADR3),True Rate $45,45,14000,0,0,0,0,0,0,4471323081,3930,3564.816,16,0,0,1,0,0,0,0,0,0,3,0,3
55,0,1,1,1,1,Voice Service,10,N,A,1,1,2395339012,1162489771,2644501120,2873142898,1108914840,1225459055,1014293858,1888676998,2220635893,3068522898,253441363,1873963516,0,0,0,7,165.1428571,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,196,154,151,146,78,115,115,345,153,440,420,0,0,0,660,663,550,461,600,265,377,377,517,606,415,1162,1615.068,1615.618,1685.517,1043.734,1292.165,857.287,1133.453,1133.453,1895.387,1661.335,1121.301,2839.464,0,0,0,0,1,ACTIVE,White,N,N,45.7,0,N,11,N,25,9,66,3,0,0,405,ADRSmartphone All_In (ADR1),Android,55,62000,0,0,0,0,0,0,21729381222,2461,17893.782,0,0,0,1,0,0,0,0,0,0,2,0,3
60,0,1,1,1,1,Unknown,10,N,A,1,1,2530175691,2563684378,2060582036,1592371994,2635471323,2986881275,712746161,1048353451,1146852757,879127997,3198200909,9981589879,0,0,0,17,97.47058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,332,599,570,431,568,580,580,717,603,637,517,0,0,0,543,617,613,522,513,481,662,662,538,23,117,253,1888.437,2020.252,1945.519,1624.969,1460.82,1443.836,2325.12,2325.12,2420.635,37.467,419.75,1621.868,0,0,0,0,1,ACTIVE,Hispanic,N,N,65.73,0,N,11,N,19,6,21,33,0,0,378,Muve Smart (MVADR3),Android,55,45000,0,0,0,0,0,0,31336037851,6534,19533.793,0,0,0,1,0,0,0,0,0,0,3,0,3
55,NON-PAYMENT,20,1,1,1,Voice Service,10,N,I,1,1,858956297,1372911753,256305432,1924219,0,0,0,0,0,0,0,0,258229651,1372911753,849785683,19,35.42105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,91,307,0,0,0,0,0,0,0,0,0,307,91,45,1366,1203,298,0,0,0,0,0,0,0,0,0,1846.349,1541.535,484.699,0,0,0,0,0,0,0,0,0,298,1203,1366,NP,1,DISC,African_American,N,N,44.62,0,0,11,N,5,0,4,0,0,1,91,ADRSmartphone All_In (ADR1),Cricket True_Rate35 (3V5),35,14000,0,0,0,0,0,0,2490097701,448,3872.583,0,0,1,0,0,0,0,0,0,0,2,0,2
35,NON-PAYMENT,20,1,1,1,Voice Service,10,N,I,1,1,10567001,1041539,0,0,0,0,0,0,0,0,0,0,1463159,10145381,0,0,67.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,41,0,0,0,0,0,0,0,0,0,0,67,306,0,1609,161,0,0,0,0,0,0,0,0,0,0,1797.834,170.951,0,0,0,0,0,0,0,0,0,0,192,1578,0,NP,1,DISC,White,N,N,44.53,0,0,11,N,2,0,1,0,0,1,60,Cricket All_In35 (35N),ADRSmartphone All_In (ADR1),55,17500,0,0,0,0,0,0,11608540,373,1968.785,0,0,0,0,0,0,1,0,0,0,2,0,6
55,NON-PAYMENT,20,1,1,1,Voice Service,10,N,I,1,1,190870550,3549288120,201244,0,0,0,0,0,0,0,0,0,201244,3549288120,190870550,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,365,0,0,0,0,0,0,0,0,0,0,0,365,316,290,308,1,0,0,0,0,0,0,0,0,0,1185.369,1328.754,0.317,0,0,0,0,0,0,0,0,0,1,308,290,NP,1,DISC,White,N,N,60.76,0,0,11,N,3,0,2,0,0,1,91,ADRSmartphone All_In (ADR1),All_In Broadband65 (BBPIA65A),65,35000,0,0,0,0,0,0,3740359914,686,2514.44,0,1,0,0,0,0,0,0,0,0,5,0,1
55,NON-PAYMENT,20,1,1,1,Voice Service,10,N,I,1,1,3837206485,3556064301,3778799671,3720757729,3619381497,3853495209,4080264110,3340072700,3503735070,3019413681,57656,0,2767214813,3595264684,3208803955,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,953,312,847,636,502,404,404,343,298,10,0,293,476,292,275,284,214,192,208,133,184,184,184,73,0,0,1456.582,1418.651,842.033,676.734,392.249,545.135,879.751,879.751,467.883,155.217,0,0,51,188,193,NP,2,DISC,Hispanic,N,N,107.42,0,N,11,N,13,0,28,0,0,1,303,ADRSmartphone All_In (ADR1),Cricket All_In35 (35N),35,17500,0,0,0,0,0,0,36309248109,5688,7713.986,0,1,0,0,0,0,0,0,0,0,3,0,1
35,0,1,1,1,1,Voice Service,10,N,A,1,1,901594827,181643400,135230593,635367694,642373112,13308304,12449088,15161344,14580297,13740706,14058277,51091104,0,0,0,34,104.2647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,192,69,353,661,55,109,109,38,110,204,371,0,0,0,217,395,236,201,359,287,201,201,200,227,104,546,919.785,1018.218,704.052,673.433,973.571,589.851,364.049,364.049,331.535,532.766,180.183,2039.651,0,0,0,0,1,ACTIVE,Hispanic,Y,N,33.56,0,0,11,N,17,12,6,2,0,0,425,Cricket All_In35 (35N),True Rate $45,45,25000,0,0,0,1,0,0,2630598746,3060,8691.143,0,0,1,0,0,0,0,0,0,0,2,0,2
55,NON-PAYMENT,20,1,1,1,Voice Service,10,N,I,1,1,2512905937,416061794,1116261,0,0,0,0,0,0,0,0,0,523542231,2405425500,0,14,143.9285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,1923,0,0,0,0,0,0,0,0,0,0,1949,1091,0,469,108,0,0,0,0,0,0,0,0,0,0,495.334,169.817,0,0,0,0,0,0,0,0,0,0,108,469,0,NP,1,DISC,White,N,N,55,0,0,11,N,2,0,1,0,0,1,60,ADRSmartphone All_In (ADR1),ADRSmartphone All_In (ADR1),55,25000,0,0,0,0,0,0,2930083992,3040,665.151,0,1,0,0,0,0,0,0,0,0,2,0,1
65,NON-PAYMENT,20,1,1,1,Voice Service,10,N,I,1,1,6728953576,2181326319,0,0,0,0,0,0,0,0,0,0,0,2181326319,6728887338,9,176.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,45,0,0,0,0,0,0,0,0,0,0,0,45,17,327,103,0,0,0,0,0,0,0,0,0,0,675.384,52.784,0,0,0,0,0,0,0,0,0,0,0,103,327,NP,1,DISC,White,N,N,65,0,0,11,N,3,0,2,0,0,1,91,Cricket Muve_ADR (MVADR1),True Rate $45,45,14000,0,0,0,0,0,0,8910279895,62,728.168,0,1,0,0,0,0,0,0,0,0,3,0,1
